Time,BTCUSDT,ETHUSDT,NEOUSDT,LTCUSDT,QTUMUSDT,ADAUSDT,XRPUSDT,EOSUSDT,IOTAUSDT,XLMUSDT,TRXUSDT,ETCUSDT,ICXUSDT,NULSUSDT,LINKUSDT,WAVESUSDT,ONGUSDT,ZILUSDT,ZRXUSDT,XMRUSDT,ZECUSDT,CELRUSDT,DASHUSDT,OMGUSDT,THETAUSDT,ENJUSDT,MATICUSDT,ATOMUSDT,TFUELUSDT,ONEUSDT,FTMUSDT,ALGOUSDT,DOGEUSDT,DUSKUSDT,ANKRUSDT,WINUSDT,COSUSDT,COCOSUSDT,MTLUSDT,TOMOUSDT,PERLUSDT,KEYUSDT,DOCKUSDT,WANUSDT,FUNUSDT,CHZUSDT,BANDUSDT,XTZUSDT,RENUSDT,RVNUSDT,HBARUSDT,NKNUSDT,STXUSDT,KAVAUSDT,ARPAUSDT,IOTXUSDT,RLCUSDT,CTXCUSDT,BCHUSDT,TROYUSDT,VITEUSDT,EURUSDT,OGNUSDT,DREPUSDT,WRXUSDT,BTSUSDT,LSKUSDT,LTOUSDT,MBLUSDT,COTIUSDT,WTCUSDT,DATAUSDT,SOLUSDT,CTSIUSDT,HIVEUSDT,CHRUSDT,ARDRUSDT,STMXUSDT,KNCUSDT,LRCUSDT,COMPUSDT,SCUSDT,ZENUSDT,SNXUSDT,VTHOUSDT,GBPUSDT,SXPUSDT,MKRUSDT,DCRUSDT,STORJUSDT,MANAUSDT,AUDUSDT,YFIUSDT,BALUSDT,BLZUSDT,IRISUSDT,KMDUSDT,CRVUSDT,SANDUSDT,OCEANUSDT,NMRUSDT,LUNAUSDT,RSRUSDT,WNXMUSDT,SUSHIUSDT,YFIIUSDT,KSMUSDT,EGLDUSDT,DIAUSDT,RUNEUSDT,FIOUSDT,UMAUSDT,BELUSDT,WINGUSDT,UNIUSDT,SUNUSDT,AVAXUSDT,FLMUSDT,ORNUSDT,UTKUSDT,XVSUSDT,ALPHAUSDT,AAVEUSDT,NEARUSDT,FILUSDT,INJUSDT,AUDIOUSDT,CTKUSDT,AKROUSDT,AXSUSDT,HARDUSDT,STRAXUSDT,UNFIUSDT,ROSEUSDT,AVAUSDT,XEMUSDT,SKLUSDT,JUVUSDT,PSGUSDT,1INCHUSDT,REEFUSDT,OGUSDT,ATMUSDT,ASRUSDT,CELOUSDT,RIFUSDT,TRUUSDT,FIROUSDT,SFPUSDT,DODOUSDT,CAKEUSDT,ACMUSDT,BADGERUSDT,FISUSDT,OMUSDT,PONDUSDT,DEGOUSDT,ALICEUSDT,LINAUSDT,PERPUSDT,SUPERUSDT,CFXUSDT,AUTOUSDT,TKOUSDT,PUNDIXUSDT,TLMUSDT,BARUSDT,FORTHUSDT,BAKEUSDT,BURGERUSDT,SLPUSDT,ICPUSDT,ARUSDT,POLSUSDT,MDXUSDT,MASKUSDT,XVGUSDT,ATAUSDT,GTCUSDT,ERNUSDT,KLAYUSDT,PHAUSDT,BONDUSDT,MLNUSDT,DEXEUSDT,C98USDT,CLVUSDT,FLOWUSDT,TVKUSDT,MINAUSDT,RAYUSDT,FARMUSDT,ALPACAUSDT,QUICKUSDT,MBOXUSDT,FORUSDT,REQUSDT,WAXPUSDT,GNOUSDT,XECUSDT,ELFUSDT,DYDXUSDT,IDEXUSDT,GALAUSDT,ILVUSDT,YGGUSDT,SYSUSDT,DFUSDT,FIDAUSDT,CVPUSDT,AGLDUSDT,RADUSDT,BETAUSDT,RAREUSDT,LAZIOUSDT,CHESSUSDT,ADXUSDT,AUCTIONUSDT,DARUSDT,BNXUSDT,MOVRUSDT,CITYUSDT,ENSUSDT,KP3RUSDT,QIUSDT,PORTOUSDT,POWRUSDT,VGXUSDT,JASMYUSDT,AMPUSDT,PLAUSDT,PYRUSDT,RNDRUSDT,ALCXUSDT,SANTOSUSDT,MCUSDT,BICOUSDT,FLUXUSDT,FXSUSDT,VOXELUSDT,HIGHUSDT,CVXUSDT,PEOPLEUSDT,OOKIUSDT,SPELLUSDT,JOEUSDT,ACHUSDT,IMXUSDT,GLMRUSDT,LOKAUSDT,API3USDT,BTTCUSDT,ACAUSDT,XNOUSDT,WOOUSDT,ALPINEUSDT,ASTRUSDT,KDAUSDT,APEUSDT,BSWUSDT,BIFIUSDT,MULTIUSDT
2022-04-08,42252.01,3192.39,21.85,110.7,6.817,1.024,0.7549,2.38,0.722,0.2021,0.06259,40.49,0.831,0.4783,15.13,26.32,0.7566,0.1202,0.7779,217.2,165.7,0.05143,110.9,4.69,3.329,1.652,1.434,26.88,0.1757,0.12697,1.2476,0.7595,0.1424,0.3597,0.07654,0.0003114,0.01615,1.3517,1.656,1.198,0.05008,0.008438,0.0417,0.5006,0.01127,0.2304,4.053,3.169,0.3887,0.05758,0.2084,0.2352,1.238,4.526,0.07271,0.07729,1.978,0.2772,323.0,0.00946,0.05596,1.085,0.4738,0.8611,0.643,0.02277,2.161,0.2339,0.010533,0.2739,0.5068,0.07849,109.92,0.3633,0.9279,0.4898,0.2282,0.01953,4.002,0.9628,134.7,0.01085,40.01,5.223,0.00433,1.302,1.292,2035.0,56.8,1.1193,2.2674,0.743,20542.67,20.25,0.1692,0.06246,0.5217,2.341,2.8994,0.5277,28.37,94.55,0.01413,34.14,3.386,1944.0,172.0,160.65,0.92,8.652,0.0975,6.997,0.887,10.06,9.74,0.01504,83.66,0.2095,4.089,0.2701,11.07,0.397,183.4,17.527,21.31,6.175,1.155,1.305,0.01205,50.7,0.4781,1.11,5.352,0.25308,1.582,0.1017,0.1981,6.11,14.18,1.577,0.00969,3.891,6.2,3.66,3.492,0.1518,0.215,3.964,0.8329,0.404,8.4,6.457,9.08,0.686,0.0906,0.0329,3.22,6.53,0.02206,4.53,0.7149,0.1523,419.2,0.842,0.888,0.1075,8.41,6.91,0.874,1.491,0.0193,18.0,33.34,1.497,0.238,4.398,0.01103,0.4011,6.273,5.154,1.072,0.2852,8.65,55.9,6.22,1.541,0.362,6.13,0.1157,3.247,2.897,99.9,0.5177,216.3,2.962,0.04347,0.236,0.2933,394.0,0.00010114,0.3428,5.044,0.15245,0.21376,586.5,2.448,0.572,0.0758,1.652,0.799,1.269,5.379,0.48454,0.566,4.5829,0.841,0.4079,13.97,1.0872,114.2,65.1,15.51,15.14,432.6,0.0518,5.2483,0.5316,1.558,0.0263,0.02448,0.923,13.54,2.439,94.1,5.445,2.24,1.529,1.546,30.485,1.5949,5.2,34.68,0.0551,0.01402,0.00464,1.281,0.03776,2.099,3.7356,3.0401,4.562,1.95e-06,1.483,2.418,0.5146,6.2411,0.2327,6.156,10.7797,1.2232,1370.4,14.92
2022-04-09,42753.97,3258.57,22.54,112.7,7.074,1.045,0.7622,2.417,0.7457,0.2049,0.06394,41.96,0.857,0.5168,15.43,24.73,0.7701,0.12027,0.8026,239.8,169.3,0.05434,114.7,4.872,3.461,1.802,1.463,27.27,0.1814,0.13199,1.3009,0.788,0.1442,0.3649,0.07894,0.0003162,0.01693,1.5088,1.781,1.211,0.04878,0.008901,0.04237,0.5136,0.01131,0.2449,4.186,3.205,0.399,0.06031,0.2136,0.2407,1.277,4.737,0.0741,0.08114,2.061,0.3088,325.9,0.00945,0.05698,1.086,0.603,1.1997,0.658,0.02394,2.21,0.2366,0.010567,0.3018,0.5162,0.08142,112.96,0.3861,0.9487,0.5094,0.2275,0.02052,3.711,1.0073,137.2,0.0113,41.88,5.415,0.004349,1.3,1.339,2093.0,58.5,1.1473,2.3397,0.7439,20638.73,18.38,0.179,0.06341,0.5334,2.473,3.0052,0.5518,28.64,97.41,0.01474,35.21,3.563,2003.0,178.3,167.08,0.925,9.383,0.0998,7.269,0.935,9.88,10.05,0.01648,84.55,0.2147,4.297,0.2632,11.27,0.4148,184.8,17.553,21.72,6.348,1.206,1.339,0.01259,51.71,0.4847,1.119,5.555,0.26406,1.576,0.1061,0.2021,6.14,14.38,1.663,0.00978,3.996,6.12,3.765,3.517,0.1527,0.2178,4.038,0.873,0.416,8.63,6.802,9.51,0.699,0.0968,0.03375,3.33,6.81,0.02343,4.55,0.7276,0.1585,438.9,0.913,0.886,0.1117,8.47,6.93,0.914,1.535,0.0194,18.39,34.28,1.591,0.238,4.649,0.01102,0.4239,6.663,5.253,1.087,0.3003,8.98,57.5,6.33,1.601,0.368,6.25,0.1193,3.235,2.961,102.3,0.5625,221.9,2.979,0.04704,0.2472,0.3017,397.3,0.00010178,0.3497,5.229,0.16665,0.22585,595.9,2.499,0.5809,0.0772,1.686,0.823,1.339,5.136,0.46949,0.575,4.6053,0.86,0.4144,14.38,1.25988,116.7,66.6,15.8,15.63,463.26,0.0537,5.4966,0.541,1.613,0.0272,0.02502,0.968,13.57,2.504,96.1,5.372,2.23,1.581,1.543,30.997,1.6375,5.14,34.94,0.0587,0.01476,0.00491,1.36,0.03913,2.161,3.945,3.1894,4.715,1.99e-06,1.592,2.44,0.5265,6.3544,0.2655,6.281,10.9757,1.2794,1406.1,14.39
2022-04-10,42158.85,3203.04,21.58,110.3,6.803,1.027,0.7543,2.361,0.7131,0.2004,0.06238,40.32,0.821,0.515,15.24,23.15,0.7446,0.11908,0.7495,235.8,161.1,0.05166,111.1,4.703,3.329,1.666,1.427,26.5,0.1759,0.12679,1.2564,0.7503,0.1482,0.3476,0.07591,0.0003089,0.0165,1.4336,1.682,1.128,0.04679,0.008553,0.04154,0.4928,0.01115,0.2352,3.951,3.124,0.3735,0.05745,0.2084,0.2299,1.225,4.773,0.07019,0.07817,1.962,0.286,319.8,0.00914,0.05588,1.087,0.5576,1.1386,0.646,0.02292,2.146,0.2402,0.010203,0.2804,0.5012,0.07948,111.07,0.3688,0.919,0.4752,0.2203,0.01971,4.122,0.9603,134.0,0.01088,41.35,5.086,0.00477,1.298,1.299,2013.0,58.7,1.0961,2.2651,0.7424,20139.43,16.94,0.1637,0.06224,0.5207,2.404,2.8808,0.5294,27.81,91.85,0.01416,32.8,3.399,1900.0,169.7,161.12,0.933,8.893,0.0964,6.993,0.888,9.41,9.88,0.01678,81.01,0.2051,4.149,0.2508,10.7,0.3925,176.3,15.804,21.02,6.067,1.128,1.275,0.01194,49.04,0.4717,1.081,5.402,0.25206,1.54,0.1028,0.1942,6.24,14.41,1.586,0.00949,3.947,6.45,3.917,3.44,0.1515,0.2114,4.007,0.8405,0.402,8.66,6.359,10.1,0.675,0.0942,0.03366,3.26,6.55,0.02263,4.54,0.6919,0.1663,417.1,0.85,0.86,0.1061,8.72,6.59,0.894,1.474,0.0182,17.34,33.94,1.511,0.235,4.45,0.01092,0.4114,6.34,5.18,1.062,0.3053,8.83,56.6,6.18,1.511,0.357,6.06,0.1142,2.978,2.887,100.8,0.5642,217.4,2.873,0.0447,0.239,0.2916,398.1,0.00010025,0.3398,4.992,0.15569,0.21493,585.1,2.41,0.5525,0.0744,1.64,0.806,1.302,4.995,0.44579,0.678,4.5548,0.882,0.412,14.06,1.12148,117.0,64.5,15.66,15.16,441.04,0.0524,5.7369,0.5306,1.571,0.025,0.02453,0.93,13.59,2.462,92.6,5.32,2.25,1.494,1.597,30.704,1.6116,5.06,34.37,0.0565,0.01456,0.00467,1.308,0.03792,2.042,3.9794,3.2867,4.536,1.96e-06,1.728,2.465,0.502,6.1538,0.3086,6.12,12.0711,1.2385,1397.3,13.36
2022-04-11,39530.45,2979.74,19.69,102.4,6.195,0.92,0.6948,2.163,0.6492,0.1867,0.05823,37.0,0.732,0.4567,13.76,23.71,0.6937,0.11041,0.6836,226.2,142.8,0.04625,100.8,4.236,3.009,1.501,1.334,23.85,0.1592,0.11572,1.1205,0.6936,0.1341,0.3217,0.06815,0.0002795,0.01478,1.3067,1.532,1.021,0.04273,0.007745,0.03621,0.4426,0.01077,0.2178,3.595,2.961,0.3232,0.05244,0.1949,0.1972,1.116,4.178,0.06445,0.07063,1.823,0.2539,294.8,0.00785,0.05149,1.088,0.4791,0.9378,0.576,0.02096,1.999,0.2112,0.009059,0.2433,0.446,0.07101,99.67,0.3366,0.8479,0.4103,0.2014,0.01735,4.04,0.8521,117.6,0.00971,37.55,4.5,0.003939,1.301,1.185,1815.0,53.1,0.9883,2.0568,0.7394,18522.68,15.1,0.1504,0.0563,0.4874,2.168,2.6756,0.477,25.91,82.52,0.01237,25.09,3.108,1785.0,152.7,150.7,0.874,7.727,0.087,6.11,0.795,8.44,8.99,0.01429,74.35,0.1833,3.588,0.2292,9.32,0.348,157.8,16.051,18.31,5.283,1.014,1.172,0.01087,45.16,0.4214,0.974,4.803,0.22617,1.386,0.0948,0.1759,5.84,13.54,1.461,0.00873,3.607,6.19,3.749,3.135,0.1411,0.1854,3.66,0.7463,0.366,7.61,5.847,8.65,0.635,0.0862,0.02901,4.0,6.12,0.02006,4.05,0.6064,0.156,383.4,0.78,0.771,0.0967,8.27,5.79,0.8,1.365,0.0164,16.1,30.02,1.374,0.212,4.008,0.0096,0.3596,5.623,4.629,0.988,0.2682,8.0,52.2,5.74,1.377,0.319,5.4,0.1013,2.558,2.724,91.3,0.5729,188.3,2.528,0.03964,0.2108,0.2646,332.2,8.851e-05,0.3137,4.56,0.13893,0.19275,533.2,2.19,0.498,0.0679,1.474,0.755,1.117,4.552,0.3945,0.577,3.9688,0.764,0.3665,13.04,1.00091,106.8,56.7,14.9,13.78,397.97,0.0474,5.6758,0.4827,1.485,0.0217,0.02255,0.84,11.87,2.069,76.1,4.774,2.03,1.319,1.446,26.094,1.39,4.45,29.61,0.0497,0.01299,0.00415,1.146,0.03573,1.736,3.3962,2.7662,3.962,1.79e-06,1.51,2.19,0.4565,5.2825,0.2607,5.395,10.9404,1.0418,1371.5,11.42
2022-04-12,40074.94,3027.66,20.39,104.8,6.433,0.955,0.7152,2.244,0.6654,0.1925,0.05991,38.12,0.755,0.4549,13.98,22.15,0.7224,0.10744,0.7113,232.6,147.4,0.04923,102.4,4.436,3.089,1.557,1.394,24.64,0.1645,0.12078,1.1635,0.7258,0.138,0.3448,0.07797,0.0002934,0.01543,1.4352,2.411,1.08,0.04535,0.008407,0.03693,0.462,0.01078,0.2275,3.791,3.066,0.3372,0.05479,0.1985,0.2099,1.154,4.143,0.06755,0.07391,1.977,0.2714,305.0,0.00885,0.05135,1.082,0.4617,1.11,0.61,0.02149,2.129,0.2159,0.010377,0.25,0.4576,0.0731,103.22,0.3587,0.9106,0.425,0.2133,0.01842,3.823,0.9121,128.8,0.01008,38.16,4.95,0.003965,1.299,1.237,1852.0,55.3,1.0472,2.153,0.7453,18837.89,15.1,0.1551,0.05735,0.4856,2.22,2.7787,0.4989,26.41,84.62,0.01319,25.09,3.221,1833.0,153.7,156.28,0.884,7.811,0.0932,6.46,0.843,9.4,9.32,0.01442,76.31,0.1923,3.926,0.2358,9.69,0.3695,164.6,16.53,19.45,5.501,1.039,1.264,0.01142,47.26,0.4368,1.044,5.04,0.23151,1.414,0.0987,0.1881,5.9,13.73,1.515,0.00896,3.671,5.99,3.789,3.21,0.1391,0.1923,3.812,0.7896,0.385,8.05,5.983,9.02,0.6566,0.0899,0.02968,3.92,6.45,0.02065,4.17,0.6357,0.1612,397.1,0.782,0.803,0.1015,8.58,6.21,0.832,1.405,0.0169,16.59,31.65,1.406,0.219,4.246,0.01015,0.3732,5.938,4.832,1.011,0.2788,7.93,54.6,6.02,1.564,0.34,5.69,0.1058,2.407,2.742,94.2,0.5946,198.8,2.621,0.04111,0.2199,0.2759,346.1,9.105e-05,0.3279,4.742,0.14532,0.20154,534.2,2.23,0.5047,0.0702,1.474,0.767,1.132,4.675,0.41174,0.585,4.0322,0.794,0.3787,13.26,1.04304,107.1,58.1,15.42,14.3,411.02,0.0485,5.2461,0.5197,1.481,0.0206,0.0232,0.875,12.08,2.057,79.1,4.807,2.07,1.362,1.472,27.57,1.3989,4.55,28.77,0.0524,0.01347,0.00414,1.191,0.03532,1.839,3.6628,2.8165,4.106,1.83e-06,1.461,2.269,0.4636,5.8174,0.267,5.593,11.5902,1.051,1491.8,12.06
2022-04-13,41147.79,3118.28,21.26,110.5,6.767,0.974,0.7232,2.359,0.6813,0.1965,0.0615,38.59,0.795,0.5068,14.19,21.71,0.7467,0.11123,0.7616,237.1,152.7,0.05189,105.2,4.635,3.169,1.59,1.42,24.7,0.1689,0.12304,1.193,0.7461,0.1399,0.3628,0.07842,0.0003021,0.01581,1.4887,2.303,1.098,0.04623,0.008443,0.03878,0.4751,0.01108,0.2429,3.921,3.176,0.3449,0.05675,0.2034,0.2164,1.205,4.109,0.06937,0.07519,2.067,0.2817,341.2,0.00912,0.0529,1.089,0.4854,1.0768,0.622,0.02241,2.177,0.2207,0.010883,0.2554,0.4718,0.07629,104.94,0.3709,0.9418,0.4408,0.2243,0.01916,3.857,0.9203,149.3,0.0107,40.23,5.156,0.00435,1.308,1.272,1935.0,56.6,1.1252,2.2008,0.7439,19416.73,15.72,0.1616,0.0586,0.5031,2.296,2.8697,0.5071,27.26,87.92,0.01327,26.36,3.332,1881.0,161.0,159.26,0.902,8.684,0.0932,6.546,0.882,9.28,9.65,0.01488,80.2,0.2005,3.936,0.2456,10.24,0.4013,178.2,16.837,19.4,5.554,1.107,1.296,0.01188,48.47,0.4406,1.099,5.245,0.2409,1.466,0.1025,0.2,5.95,13.99,1.55,0.00921,3.765,5.77,3.794,3.266,0.1421,0.1974,3.931,0.8062,0.398,8.29,6.089,8.92,0.6825,0.0907,0.03021,3.82,6.54,0.02146,4.25,0.655,0.1693,398.2,0.781,0.946,0.1041,8.6,6.37,0.866,1.471,0.0175,16.97,31.67,1.441,0.226,4.335,0.01055,0.3855,6.205,4.912,1.023,0.2768,7.94,56.2,6.07,1.625,0.348,5.91,0.107,2.521,2.831,96.2,0.5793,210.1,2.664,0.0418,0.2255,0.289,355.7,9.48e-05,0.3392,4.825,0.15033,0.20723,557.7,2.271,0.5293,0.074,1.5,0.782,1.254,4.731,0.41697,0.602,4.1073,0.807,0.3927,13.55,1.1065,109.4,59.5,15.34,14.57,417.3,0.0509,5.3919,0.5318,1.511,0.0201,0.02335,0.921,12.95,2.11,78.4,4.904,2.33,1.401,1.504,33.347,1.4589,4.63,29.75,0.0542,0.01403,0.00424,1.265,0.03804,1.857,3.9656,2.9049,4.198,1.92e-06,1.517,2.279,0.4787,5.9834,0.2633,5.873,13.2423,1.2472,1529.0,12.27
2022-04-14,39942.38,3021.98,20.6,107.3,6.549,0.933,0.7262,2.307,0.6632,0.1939,0.06013,37.05,0.767,0.4875,13.65,21.25,0.7216,0.11472,0.7438,229.3,144.2,0.04935,106.2,4.517,3.035,1.525,1.374,23.96,0.1637,0.12132,1.1535,0.7267,0.1441,0.3477,0.07619,0.0002932,0.01526,1.4494,2.094,1.076,0.04552,0.008203,0.03702,0.4559,0.01083,0.237,3.777,3.099,0.3329,0.05439,0.1963,0.2078,1.184,4.303,0.06659,0.07339,2.077,0.2721,337.6,0.008941,0.05037,1.08,0.5377,0.9326,0.608,0.02127,2.149,0.2169,0.011217,0.2529,0.4605,0.07238,100.77,0.3567,0.9171,0.4205,0.2168,0.01837,4.508,0.8846,143.7,0.01053,38.02,5.197,0.004454,1.305,1.227,1902.0,54.5,1.0798,2.1197,0.7395,18822.94,15.35,0.1565,0.05657,0.4811,2.227,2.7808,0.4873,26.67,81.57,0.01282,30.35,3.219,1823.0,160.9,155.18,0.871,8.34,0.0918,6.33,0.864,8.83,9.48,0.0148,76.81,0.1925,3.761,0.2352,9.85,0.3826,171.9,16.384,18.68,5.295,1.186,1.272,0.01132,46.78,0.423,1.07,4.972,0.23164,1.452,0.099,0.1944,5.86,13.81,1.515,0.00903,3.642,5.53,3.787,3.124,0.1366,0.1883,3.741,0.7895,0.406,7.94,6.226,9.24,0.6462,0.0864,0.02905,3.55,6.39,0.02093,4.16,0.6252,0.1611,389.6,0.761,0.866,0.1009,7.5,6.23,0.828,1.415,0.0172,16.49,30.29,1.395,0.22,4.203,0.01066,0.376,5.829,4.665,0.997,0.2684,7.81,53.8,5.86,1.589,0.334,5.79,0.1075,2.303,2.695,92.5,0.5438,201.8,2.814,0.04065,0.2224,0.2806,342.4,9.211e-05,0.3379,4.605,0.14754,0.19789,532.9,2.181,0.5221,0.0758,1.472,0.82,1.261,4.589,0.39778,0.642,4.1422,0.777,0.3776,14.91,1.0376,104.8,57.2,15.2,14.0,402.0,0.0494,5.446,0.5007,1.456,0.0188,0.0225,0.935,11.79,2.015,90.9,4.783,2.15,1.352,1.449,29.766,1.4041,4.56,28.16,0.0522,0.01332,0.00406,1.201,0.0365,1.802,3.7722,2.7171,3.99,1.94e-06,1.426,2.19,0.477,5.6667,0.2465,5.547,12.2676,1.1282,1459.1,11.43
2022-04-15,40551.9,3040.56,21.09,111.0,6.616,0.956,0.7858,2.419,0.6746,0.2042,0.06181,37.35,0.782,0.4931,14.11,22.16,0.7293,0.11072,0.7382,239.4,146.6,0.05056,109.3,4.635,3.05,1.527,1.398,24.08,0.1673,0.12255,1.1789,0.7393,0.1458,0.3426,0.07584,0.0002965,0.01542,1.4055,2.02,1.092,0.04511,0.008242,0.03745,0.4726,0.01089,0.2388,3.737,3.194,0.3312,0.05554,0.1999,0.2133,1.183,4.306,0.06819,0.07486,2.097,0.2725,340.8,0.008815,0.05165,1.077,0.5165,0.9717,0.608,0.0223,2.151,0.2361,0.010871,0.2538,0.4633,0.07354,101.31,0.3591,0.9206,0.4285,0.2203,0.01893,4.595,0.8954,148.1,0.01067,39.07,5.364,0.004432,1.3,1.256,1947.0,56.2,1.0811,2.1444,0.7373,19092.27,15.35,0.1603,0.06035,0.4923,2.225,2.8041,0.4954,26.78,80.39,0.01354,28.5,3.291,1851.0,166.3,155.44,0.908,8.479,0.0948,6.416,0.866,9.04,9.77,0.01496,77.43,0.198,3.589,0.2378,10.24,0.3753,175.9,16.032,19.05,5.314,1.294,1.314,0.0118,47.92,0.427,1.079,5.111,0.23257,1.482,0.1014,0.1944,5.87,14.42,1.519,0.00921,3.657,5.54,3.773,3.148,0.1375,0.1909,3.772,0.8024,0.412,8.15,6.292,9.11,0.6577,0.0901,0.02972,3.61,6.42,0.02148,4.02,0.644,0.183,406.3,0.775,0.871,0.1018,7.51,6.29,0.837,1.45,0.0172,16.8,30.25,1.442,0.223,4.318,0.01052,0.3846,6.109,4.738,1.003,0.2706,7.9,54.4,5.9,1.54,0.356,5.89,0.1124,2.334,2.752,94.7,0.5854,202.4,2.834,0.04131,0.221,0.2801,348.9,9.34e-05,0.3441,4.673,0.15363,0.20153,535.3,2.229,0.5186,0.0786,1.525,0.802,1.281,4.841,0.40387,0.612,4.1343,0.793,0.3963,14.15,1.0445,103.3,57.2,15.35,14.27,406.3,0.0503,5.4059,0.5196,1.503,0.0181,0.02253,0.936,12.18,2.034,84.4,4.836,2.14,1.34,1.518,28.591,1.5122,4.62,28.66,0.0534,0.01358,0.00415,1.186,0.03681,1.784,4.0286,2.685,4.737,1.98e-06,1.43,2.155,0.4746,5.6019,0.2431,5.582,12.2346,1.1552,1483.0,11.08
2022-04-16,40378.71,3059.3,21.57,114.3,6.896,0.951,0.7808,2.608,0.6748,0.2053,0.06186,38.14,0.774,0.476,14.14,21.49,0.7263,0.11035,0.7276,236.2,143.9,0.05184,108.3,4.776,3.049,1.505,1.388,24.18,0.1656,0.12136,1.1548,0.7432,0.1435,0.3368,0.07602,0.0002927,0.01523,1.4013,1.953,1.09,0.04568,0.008393,0.03697,0.4669,0.01084,0.2345,3.753,3.282,0.3287,0.0557,0.1981,0.2104,1.174,4.21,0.06822,0.07416,2.056,0.2672,342.8,0.008644,0.05122,1.079,0.5442,0.9279,0.6,0.02219,2.131,0.2344,0.010546,0.2496,0.4598,0.07548,102.06,0.3556,0.9196,0.4236,0.2176,0.01882,4.41,0.903,143.6,0.01066,38.42,5.214,0.004255,1.303,1.256,1887.0,56.3,1.0912,2.1523,0.7384,19103.57,15.18,0.16,0.05823,0.4915,2.236,2.8184,0.4999,26.84,80.96,0.01385,29.39,3.332,1850.0,174.6,155.15,0.889,7.986,0.0923,6.381,0.857,9.13,9.67,0.0147,77.74,0.1976,3.519,0.2329,10.14,0.3759,172.4,15.934,21.66,5.4,1.299,1.343,0.01166,47.42,0.4235,1.052,5.081,0.23197,1.441,0.1011,0.1875,5.82,14.87,1.512,0.0092,3.684,5.55,3.761,3.169,0.1379,0.2056,3.622,0.7977,0.41,8.22,6.234,8.99,0.6556,0.0917,0.0292,3.52,6.76,0.02162,4.01,0.6609,0.192,417.6,0.767,0.853,0.103,7.43,6.2,0.828,1.432,0.0171,17.56,29.8,1.479,0.221,4.262,0.01082,0.3788,6.113,4.714,0.997,0.269,7.84,55.0,5.87,1.565,0.35,5.83,0.1092,2.418,2.714,95.7,0.5994,196.5,2.751,0.04081,0.2213,0.2725,348.1,9.277e-05,0.3358,4.719,0.15153,0.20274,533.5,2.196,0.5203,0.0773,1.493,0.803,1.249,4.797,0.40318,0.598,4.1373,0.813,0.3914,13.65,1.01651,102.8,62.3,15.16,14.3,407.05,0.0494,5.5774,0.5063,1.458,0.0188,0.02263,0.922,11.8,2.008,81.2,4.827,2.2,1.347,1.468,28.81,1.4521,5.14,28.04,0.0524,0.01356,0.00418,1.154,0.036,1.858,4.2233,2.7144,4.52,1.96e-06,1.521,2.138,0.4734,5.5971,0.2426,5.483,11.6643,1.1332,1468.9,11.23
2022-04-17,39678.12,2988.06,20.5,108.8,6.52,0.914,0.7519,2.418,0.6449,0.1965,0.06009,36.6,0.736,0.4745,13.73,20.0,0.7166,0.10941,0.6873,241.4,137.4,0.04797,104.4,4.499,2.87,1.421,1.337,23.21,0.1609,0.11638,1.1145,0.7105,0.1392,0.3234,0.07236,0.0002852,0.01509,1.3596,2.703,1.041,0.04389,0.008051,0.03527,0.4464,0.01075,0.2221,3.552,3.084,0.3147,0.05267,0.1923,0.201,1.129,4.066,0.06618,0.07031,1.934,0.2553,328.1,0.008336,0.04938,1.08,0.6193,0.8678,0.58,0.02111,2.084,0.2242,0.009999,0.2327,0.4392,0.0726,100.15,0.3351,0.8858,0.3995,0.2113,0.01801,4.111,0.8528,141.8,0.01013,36.44,4.992,0.004111,1.299,1.198,1792.0,60.2,1.0389,2.0527,0.738,18702.95,14.42,0.1531,0.05635,0.4825,2.194,2.678,0.4718,26.44,77.19,0.01313,27.84,3.193,1825.0,168.9,152.45,0.87,7.613,0.0908,6.164,0.806,8.8,9.24,0.01405,75.42,0.191,3.309,0.2301,9.76,0.3552,166.7,15.682,19.7,5.116,1.376,1.239,0.01109,45.48,0.413,1.048,4.785,0.22135,1.387,0.0971,0.1797,5.68,14.56,1.461,0.00879,3.597,5.35,3.669,3.017,0.1364,0.1934,3.501,0.7611,0.378,8.39,6.115,8.67,0.6274,0.0876,0.02861,3.51,6.49,0.02054,3.91,0.62,0.1913,401.0,0.747,0.902,0.0967,7.01,6.02,0.767,1.385,0.0167,16.41,28.72,1.444,0.223,4.116,0.01036,0.3583,5.835,4.7,0.977,0.2665,7.71,54.6,5.74,1.483,0.332,5.58,0.1042,2.273,2.635,94.3,0.6389,192.2,2.588,0.03956,0.2151,0.2642,346.8,8.878e-05,0.3244,4.515,0.14505,0.19215,524.3,2.119,0.497,0.0718,1.434,0.748,1.194,4.58,0.39502,0.573,4.0029,0.771,0.3821,13.3,0.97593,100.8,57.3,14.87,13.7,388.77,0.0465,5.7783,0.4963,1.428,0.018,0.02223,0.882,11.69,2.008,78.2,4.793,2.09,1.324,1.442,30.61,1.4631,4.57,26.05,0.0492,0.01316,0.00406,1.119,0.03517,1.726,3.8481,2.7501,4.217,1.9e-06,1.459,2.068,0.4579,5.3777,0.2212,5.402,11.6991,1.1271,1436.6,12.02
